Date,Rainfall_inches
9/1/15,0
9/2/15,0
9/3/15,0
9/4/15,0
9/5/15,0
9/6/15,0
9/7/15,0
9/8/15,0
9/9/15,0
9/10/15,0
9/11/15,0
9/12/15,0
9/13/15,0
9/14/15,0
9/15/15,0.06
9/16/15,0.03
9/17/15,0.01
9/18/15,0
9/19/15,0
9/20/15,0
9/21/15,0
9/22/15,0
9/23/15,0
9/24/15,0
9/25/15,0
9/26/15,0
9/27/15,0
9/28/15,0
9/29/15,0
9/30/15,0
10/1/15,0
10/2/15,0
10/3/15,0
10/4/15,0
10/5/15,0.25
10/6/15,0.01
10/7/15,0
10/8/15,0
10/9/15,0
10/10/15,0
10/11/15,0
10/12/15,0
10/13/15,0
10/14/15,0
10/15/15,0
10/16/15,0
10/17/15,0
10/18/15,0
10/19/15,0
10/20/15,0
10/21/15,0
10/22/15,0
10/23/15,0
10/24/15,0
10/25/15,0
10/26/15,0
10/27/15,0
10/28/15,0
10/29/15,0
10/30/15,0
10/31/15,0
11/1/15,0
11/2/15,0
11/3/15,0.01
11/4/15,0.01
11/5/15,0
11/6/15,0
11/7/15,0
11/8/15,0
11/9/15,0
11/10/15,0
11/11/15,0
11/12/15,0
11/13/15,0
11/14/15,0
11/15/15,0
11/16/15,0.11
11/17/15,0
11/18/15,0
11/19/15,0
11/20/15,0
11/21/15,0
11/22/15,0
11/23/15,0
11/24/15,0
11/25/15,0
11/26/15,0
11/27/15,0
11/28/15,0
11/29/15,0
11/30/15,0
12/1/15,0
12/2/15,0
12/3/15,0
12/4/15,0
12/5/15,0
12/6/15,0
12/7/15,0
12/8/15,0
12/9/15,0
12/10/15,0
12/11/15,0
12/12/15,0
12/13/15,0
12/14/15,0.18
12/15/15,0
12/16/15,0
12/17/15,0
12/18/15,0
12/19/15,0
12/20/15,0.19
12/21/15,0
12/22/15,0
12/23/15,0
12/24/15,0
12/25/15,0
12/26/15,0
12/27/15,0
12/28/15,0
12/29/15,0
12/30/15,0
12/31/15,0
1/1/16,0
1/2/16,0
1/3/16,0
1/4/16,0
1/5/16,0.96
1/6/16,0.99
1/7/16,2.07
1/8/16,0
1/9/16,0
1/10/16,0
1/11/16,0.07
1/12/16,0.01
1/13/16,0
1/14/16,0.01
1/15/16,0
1/16/16,0
1/17/16,0
1/18/16,0
1/19/16,0.15
1/20/16,0.5
1/21/16,0.01
1/22/16,0
1/23/16,0.01
1/24/16,0
1/25/16,0
1/26/16,0
1/27/16,0
1/28/16,0
1/29/16,0
1/30/16,0
1/31/16,0.52
2/1/16,1.01
2/2/16,0
2/3/16,0
2/4/16,0
2/5/16,0
2/6/16,0
2/7/16,0
2/8/16,0
2/9/16,0
2/10/16,0
2/11/16,0
2/12/16,0
2/13/16,0
2/14/16,0
2/15/16,0
2/16/16,0
2/17/16,0
2/18/16,0.49
2/19/16,0
2/20/16,0
2/21/16,0
2/22/16,0
2/23/16,0
2/24/16,0
2/25/16,0
2/26/16,0
2/27/16,0
2/28/16,0
2/29/16,0.01
3/1/16,0
3/2/16,0.01
3/3/16,0
3/4/16,0.01
3/5/16,0.01
3/6/16,1.82
3/7/16,0.71
3/8/16,0.13
3/9/16,0
3/10/16,0
3/11/16,0
3/12/16,0.74
3/13/16,0
3/14/16,0
3/15/16,0
3/16/16,0
3/17/16,0
3/18/16,0
3/19/16,0
3/20/16,0
3/21/16,0
3/22/16,0
3/23/16,0
3/24/16,0
3/25/16,0
3/26/16,0
3/27/16,0
3/28/16,0
3/29/16,0
3/30/16,0
3/31/16,0
4/1/16,0
4/2/16,0
4/3/16,0
4/4/16,0
4/5/16,0
4/6/16,0
4/7/16,0
4/8/16,0.15
4/9/16,0.27
4/10/16,0.08
4/11/16,0
4/12/16,0
4/13/16,0
4/14/16,0
4/15/16,0
4/16/16,0
4/17/16,0
4/18/16,0
4/19/16,0
4/20/16,0
4/21/16,0
4/22/16,0
4/23/16,0
4/24/16,0
4/25/16,0
4/26/16,0
4/27/16,0
4/28/16,0
4/29/16,0
4/30/16,0
5/1/16,0
5/2/16,0
5/3/16,0
5/4/16,0.01
5/5/16,0
5/6/16,0
5/7/16,0.04
5/8/16,0
5/9/16,0
5/10/16,0
5/11/16,0
5/12/16,0
5/13/16,0
5/14/16,0
5/15/16,0
5/16/16,0
5/17/16,0
5/18/16,0
5/19/16,0
5/20/16,0
5/21/16,0
5/22/16,0
5/23/16,0
5/24/16,0
5/25/16,0
5/26/16,0
5/27/16,0
5/28/16,0
5/29/16,0.01
5/30/16,0
5/31/16,0
6/1/16,0
6/2/16,0
6/3/16,0
6/4/16,0
6/5/16,0
6/6/16,0
6/7/16,0
6/8/16,0
6/9/16,0
6/10/16,0
6/11/16,0
6/12/16,0.04
6/13/16,0
6/14/16,0
6/15/16,0
6/16/16,0
6/17/16,0
6/18/16,0
6/19/16,0
6/20/16,0
6/21/16,0
6/22/16,0
6/23/16,0
6/24/16,0
6/25/16,0
6/26/16,0
6/27/16,0
6/28/16,0
6/29/16,0
6/30/16,0
7/1/16,0
7/2/16,0
7/3/16,0
7/4/16,0
7/5/16,0
7/6/16,0
7/7/16,0
7/8/16,0
7/9/16,0
7/10/16,0
7/11/16,0
7/12/16,0
7/13/16,0
7/14/16,0
7/15/16,0
7/16/16,0
7/17/16,0
7/18/16,0
7/19/16,0
7/20/16,0
7/21/16,0
7/22/16,0
7/23/16,0
7/24/16,0
7/25/16,0
7/26/16,0
7/27/16,0
7/28/16,0
7/29/16,0
7/30/16,0
7/31/16,0
8/1/16,0
8/2/16,0
8/3/16,0
8/4/16,0
8/5/16,0
8/6/16,0
8/7/16,0
8/8/16,0
8/9/16,0
8/10/16,0
8/11/16,0
8/12/16,0
8/13/16,0
8/14/16,0
8/15/16,0
8/16/16,0
8/17/16,0
8/18/16,0
8/19/16,0
8/20/16,0
8/21/16,0
8/22/16,0
8/23/16,0
8/24/16,0
8/25/16,0
8/26/16,0
8/27/16,0
8/28/16,0
8/29/16,0
8/30/16,0
8/31/16,0
9/1/16,0
9/2/16,0
9/3/16,0
9/4/16,0
9/5/16,0.01
9/6/16,0
9/7/16,0
9/8/16,0
9/9/16,0
9/10/16,0
9/11/16,0
9/12/16,0
9/13/16,0
9/14/16,0
9/15/16,0
9/16/16,0
9/17/16,0
9/18/16,0
9/19/16,0
9/20/16,0.01
9/21/16,0
9/22/16,0
9/23/16,0
9/24/16,0
9/25/16,0
9/26/16,0
9/27/16,0
9/28/16,0
9/29/16,0
9/30/16,0
10/1/16,0
10/2/16,0
10/3/16,0
10/4/16,0
10/5/16,0
10/6/16,0
10/7/16,0
10/8/16,0
10/9/16,0
10/10/16,0
10/11/16,0
10/12/16,0
10/13/16,0
10/14/16,0
10/15/16,0
10/16/16,0
10/17/16,0.2
10/18/16,0
10/19/16,0
10/20/16,0
10/21/16,0
10/22/16,0
10/23/16,0
10/24/16,0
10/25/16,0
10/26/16,0
10/27/16,0
10/28/16,0.35
10/29/16,0.01
10/30/16,0.06
10/31/16,0.18
11/1/16,0
11/2/16,0
11/3/16,0
11/4/16,0
11/5/16,0
11/6/16,0
11/7/16,0
11/8/16,0
11/9/16,0
11/10/16,0
11/11/16,0
11/12/16,0
11/13/16,0
11/14/16,0
11/15/16,0
11/16/16,0
11/17/16,0
11/18/16,0
11/19/16,0
11/20/16,0
11/21/16,0.52
11/22/16,0
11/23/16,0
11/24/16,0
11/25/16,0
11/26/16,0
11/27/16,0.49
11/28/16,0
11/29/16,0
11/30/16,0
12/1/16,0
12/2/16,0
12/3/16,0
12/4/16,0
12/5/16,0
12/6/16,0
12/7/16,0
12/8/16,0
12/9/16,0.06
12/10/16,0.01
12/11/16,0
12/12/16,0
12/13/16,0
12/14/16,0
12/15/16,0.01
12/16/16,1.3
12/17/16,0.01
12/18/16,0
12/19/16,0
12/20/16,0
12/21/16,0
12/22/16,0.07
12/23/16,0
12/24/16,1.77
12/25/16,0
12/26/16,0
12/27/16,0
12/28/16,0
12/29/16,0
12/30/16,0.04
12/31/16,0.28
1/1/17,0.08
1/2/17,0
1/3/17,0
1/4/17,0
1/5/17,0.61
1/6/17,0
1/7/17,0.29
1/8/17,0.14
1/9/17,0.93
1/10/17,0
1/11/17,0.91
1/12/17,0.28
1/13/17,0.11
1/14/17,0
1/15/17,0
1/16/17,0
1/17/17,0
1/18/17,0
1/19/17,0.91
1/20/17,0.68
1/21/17,1.78
1/22/17,0.42
1/23/17,1.31
1/24/17,0.04
1/25/17,0
1/26/17,0
1/27/17,0
1/28/17,0
1/29/17,0
1/30/17,0
1/31/17,0
2/1/17,0
2/2/17,0
2/3/17,0.17
2/4/17,0.18
2/5/17,0
2/6/17,1.48
2/7/17,0.22
2/8/17,0.46
2/9/17,0.01
2/10/17,0.04
2/11/17,0.65
2/12/17,0
2/13/17,0
2/14/17,0
2/15/17,0.01
2/16/17,0
2/17/17,1.27
2/18/17,5.02
2/19/17,0.1
2/20/17,0.74
2/21/17,0.19
2/22/17,0.06
2/23/17,0
2/24/17,0
2/25/17,0
2/26/17,0.15
2/27/17,0
2/28/17,0
3/1/17,0
3/2/17,0
3/3/17,0
3/4/17,0
3/5/17,0
3/6/17,0.2
3/7/17,0
3/8/17,0
3/9/17,0
3/10/17,0
3/11/17,0
3/12/17,0
3/13/17,0
3/14/17,0
3/15/17,0
3/16/17,0
3/17/17,0
3/18/17,0
3/19/17,0
3/20/17,0
3/21/17,0.2
3/22/17,0.55
3/23/17,0
3/24/17,0
3/25/17,0.03
3/26/17,0
3/27/17,0
3/28/17,0
3/29/17,0
3/30/17,0
3/31/17,0
4/1/17,0
4/2/17,0
4/3/17,0
4/4/17,0
4/5/17,0
4/6/17,0
4/7/17,0
4/8/17,0.12
4/9/17,0.01
4/10/17,0
4/11/17,0
4/12/17,0
4/13/17,0
4/14/17,0
4/15/17,0
4/16/17,0
4/17/17,0
4/18/17,0
4/19/17,0.21
4/20/17,0.01
4/21/17,0
4/22/17,0
4/23/17,0
4/24/17,0
4/25/17,0
4/26/17,0
4/27/17,0
4/28/17,0
4/29/17,0
4/30/17,0
5/1/17,0
5/2/17,0
5/3/17,0
5/4/17,0
5/5/17,0
5/6/17,0
5/7/17,0.2
5/8/17,0.03
5/9/17,0
5/10/17,0
5/11/17,0
5/12/17,0
5/13/17,0
5/14/17,0
5/15/17,0
5/16/17,0
5/17/17,0
5/18/17,0
5/19/17,0
5/20/17,0
5/21/17,0
5/22/17,0
5/23/17,0
5/24/17,0
5/25/17,0
5/26/17,0
5/27/17,0
5/28/17,0
5/29/17,0
5/30/17,0
5/31/17,0
6/1/17,0
6/2/17,0
6/3/17,0
6/4/17,0
6/5/17,0
6/6/17,0
6/7/17,0.01
6/8/17,0
6/9/17,0
6/10/17,0
6/11/17,0
6/12/17,0
6/13/17,0
6/14/17,0
6/15/17,0
6/16/17,0
6/17/17,0
6/18/17,0
6/19/17,0
6/20/17,0
6/21/17,0
6/22/17,0
6/23/17,0.01
6/24/17,0
6/25/17,0
6/26/17,0
6/27/17,0
6/28/17,0
6/29/17,0
6/30/17,0
7/1/17,0
7/2/17,0
7/3/17,0
7/4/17,0
7/5/17,0
7/6/17,0
7/7/17,0
7/8/17,0
7/9/17,0
7/10/17,0
7/11/17,0
7/12/17,0
7/13/17,0
7/14/17,0
7/15/17,0
7/16/17,0
7/17/17,0
7/18/17,0
7/19/17,0
7/20/17,0
7/21/17,0
7/22/17,0
7/23/17,0
7/24/17,0
7/25/17,0
7/26/17,0
7/27/17,0
7/28/17,0
7/29/17,0
7/30/17,0
7/31/17,0
8/1/17,0
8/2/17,0
8/3/17,0
8/4/17,0
8/5/17,0
8/6/17,0
8/7/17,0
8/8/17,0
8/9/17,0
8/10/17,0
8/11/17,0
8/12/17,0
8/13/17,0
8/14/17,0
8/15/17,0
8/16/17,0
8/17/17,0
8/18/17,0
8/19/17,0
8/20/17,0
8/21/17,0
8/22/17,0
8/23/17,0
8/24/17,0
8/25/17,0
8/26/17,0
8/27/17,0
8/28/17,0
8/29/17,0
8/30/17,0
8/31/17,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,