"","Type","Group_2","ON","sdON","OC","sdOC","CN","sdCN","D13C","sdD13C","D15N","sdD15N","Lam","sdLam","Sig8","sdSig8","s","sds","v","sdv","c","sdc","p","sdp","sv","sdsv","cv","sdcv","pvs","sdpvs","bdv","sdbdv"
"1","Stream","C",0.33,0.0966091783079296,3.64142857142857,1.35033858188022,11.0271428571429,2.01088466672187,-25.9957142857143,0.468182910938917,4.65,1.09212331416069,1.39857142857143,0.480743471837409,4.37142857142857,1.62448380079569,0.824285714285714,0.294553738326141,0.477142857142857,0.167104187630979,0.0985714285714286,0.0333809184158512,0.384285714285714,0.11355720186425,1.72428571428571,0.245822235423428,0.202857142857143,0.0314718316987777,0.301428571428571,0.0328778402720188,0.164285714285714,0.0340867241298539
"2","Stream","D",0.35375,0.143122075765511,2.8825,1.25908980730413,7.96,1.4825171644393,-26.5675,0.384252521136817,1.5775,1.88469588300834,1.74625,0.76634452341713,5.76,4.23843636936345,1.25375,0.608462641182091,0.40125,0.16304578673314,0.095,0.0707106781186548,0.34375,0.147738910630496,3.18625,1.07033956561191,0.20625,0.0822778394049264,0.22,0.0709124208342334,0.195,0.0469041575982343
"3","Stream","I",0.18375,0.0736667205343479,2.15875,1.11909960618858,11.375,1.82806689468098,-26.45125,0.738810578855346,3.63125,0.815693175858948,3.17375,0.602919978106548,7.23875,4.78722835857481,1.99125,0.388161877130074,0.865,0.247213037104206,0.3175,0.106335049993607,0.25125,0.125861318237858,2.34625,0.242188680872697,0.39125,0.137989388825994,0.085,0.0232992949004287,0.17625,0.0910160896294088
"4","Estuarine","E",0.0978571428571429,0.0622869996842867,1.31285714285714,0.934726850857664,12.115,3.62804195972683,-25.6992857142857,1.78623998855229,2.875,2.28079861182269,1.96214285714286,1.13558645351492,3.35071428571429,2.8788765551479,1.30428571428571,0.804886177196353,0.547142857142857,0.311310593642885,0.111428571428571,0.0942057603054361,0.330714285714286,0.175036887792008,2.43142857142857,1.05704127816101,0.185714285714286,0.0869760608721455,0.21,0.079227035012823,0.185,0.110436198079044
"5","Estuarine","H",0.0776923076923077,0.0602984032615909,1.00846153846154,0.810728542257376,12.1915384615385,3.68273640597551,-24.8815384615385,1.57277804194704,4.91923076923077,1.62929157170871,2.30153846153846,1.54764792590696,2.20384615384615,2.22961707647127,1.56769230769231,1.09313885856398,0.585384615384615,0.410763828832242,0.150769230769231,0.0819005024874225,0.297692307692308,0.149897400808789,2.73846153846154,0.507967291496972,0.290769230769231,0.111165157795473,0.179230769230769,0.102018097941945,0.176923076923077,0.162551766902353
"6","Estuarine","J",0.0642857142857143,0.0595772653740548,0.679285714285714,0.693469141742768,9.71142857142857,3.94680758460431,-24.4935714285714,3.24598831019,3.5,1.99455412407038,2.28636363636364,1.02166797666632,2.22,2.27217516930363,1.44363636363636,0.713964603146021,0.6,0.234861661409435,0.268,0.123540366772251,0.171111111111111,0.0951898687419576,2.41272727272727,0.678617578745068,0.419,0.18841148820836,0.0777777777777778,0.0253859103528797,0.198,0.0463800723491362
"7","Estuarine","O",0.0708333333333333,0.0705121953776061,0.963333333333333,1.02525680448925,11.25,4.20801140682865,-23.9975,2.01981153486251,0.496666666666667,3.11611160184476,2.17833333333333,1.50099865746008,3.12,3.62744087101737,1.45818181818182,0.801833127050987,0.634545454545455,0.464356837709183,0.312,0.208315999278873,0.3,0.150111069989303,3.43,2.19036526634258,0.451111111111111,0.244409719755805,0.0985714285714286,0.0273426232761059,0.28875,0.194307377993881
"8","MarineRunoff","A",0.0454871794871795,0.0149452893385945,0.45,0.230902120981346,9.46,2.71007379973314,-23.2671794871795,0.663455661144732,2.11871794871795,1.44051924024342,0.973076923076923,0.597909312988771,0.554615384615385,0.44954858149649,0.656923076923077,0.40653318532345,0.283333333333333,0.200766076675965,0.0341025641025641,0.0267264848652486,0.158205128205128,0.0620217192378603,2.52358974358974,0.697123741864373,0.126666666666667,0.0834875765524218,0.218205128205128,0.129286947175079,0.312307692307692,0.195777284022614
"9","MarineRunoff","F",0.0367,0.0121554039897424,0.32775,0.165954697247356,8.7925,2.41865267643595,-22.18875,1.48399355085336,3.539,1.80212808674235,1.22325,0.706476949013327,0.4475,0.381264764321095,0.86375,0.509296586303612,0.33925,0.213882156626206,0.0225,0.017464249196573,0.19375,0.094589192747456,2.89325,1.15701957410918,0.0669230769230769,0.0563893348517275,0.20175,0.103450409276557,0.51775,0.367782596735542
"10","MarineRunoff","K",0.0411392405063291,0.0118740550795067,0.335316455696203,0.165512687894142,7.78278481012658,2.02948960156076,-22.6811392405063,1.33716978894458,3.35784810126582,1.60571149728972,1.14708860759494,0.737701127548615,0.430506329113924,0.378580001145228,0.817974683544304,0.560138214964557,0.311818181818182,0.231827563371477,0.0319402985074627,0.0267558436534248,0.143275862068966,0.104064553700879,3.19298701298701,1.70480672228714,0.110454545454545,0.102708427010742,0.162241379310345,0.115743865790976,0.630135135135135,0.677975417268093
"11","MarineRunoff","M",0.035125,0.0140517803728058,0.416,0.226691113102154,11.381625,3.08240225393495,-22.611125,1.37007344693633,3.825625,1.68570147945836,1.346,0.885022491311143,0.60275,0.594776790384213,0.939375,0.605686855112191,0.385897435897436,0.281034433798339,0.0343661971830986,0.0262260717806971,0.108571428571429,0.0430298494565211,2.73269230769231,0.989018499527482,0.102112676056338,0.0817996767887039,0.0688095238095238,0.0339441708744385,0.528888888888889,0.451124441422481
"12","Marine","B",0.0489166666666667,0.0164446810924348,0.492083333333333,0.278036268617363,9.73083333333333,3.4395878376273,-22.9325,0.704459398033883,2.72041666666667,1.27124204641748,0.455833333333333,0.389156464192988,0.255416666666667,0.269653226049385,0.309166666666667,0.259395897970762,0.12875,0.115092118114899,0.0191666666666667,0.0158571521832364,0.115833333333333,0.0514077194902517,2.68416666666667,0.918897811731967,0.130416666666667,0.083378610888064,0.50125,0.527861250708934,0.659583333333333,0.617994506565331
"13","Marine","G",0.0569583333333333,0.0414114867142446,0.57625,0.51328280619015,9.43958333333333,2.58589901811421,-22.1033333333333,1.257515378648,4.62375,1.83716656247083,0.77375,0.582571604108065,0.385,0.311587799057889,0.536666666666667,0.395393768140139,0.225833333333333,0.198339118171634,0.0166666666666667,0.00899735410842437,0.142083333333333,0.063244120996182,3.08458333333333,1.530700263638,0.0645,0.0294645192517516,0.39625,0.348272912726687,1.01875,1.1402948226703
"14","Marine","L",0.0369230769230769,0.00893068222591326,0.282307692307692,0.104187622723359,7.38974358974359,1.54838028645129,-22.2820512820513,1.04387229378023,3.80461538461538,0.727399282787102,0.942051282051282,0.719956795074974,0.322631578947368,0.285057454716293,0.703846153846154,0.560810575884845,0.245945945945946,0.180423259455516,0.01,0,0.156756756756757,0.0596775620431282,3.68891891891892,2.41310287088335,0.027,0.0120773369980935,0.246756756756757,0.192484545614188,0.544857142857143,0.667525595140791
"15","Marine","N",0.03575,0.012380195102228,0.38,0.18632753075686,10.37,2.42912245418709,-22.29725,0.839758779467239,3.44175,1.59284761532327,1.08657894736842,0.795766760327488,0.499736842105263,0.430433388399666,0.793421052631579,0.561764961507249,0.294857142857143,0.225184518177629,0.0289285714285714,0.0152362350055011,0.10625,0.0324862608321909,3.54057142857143,1.80027602925568,0.106296296296296,0.0759629539339432,0.06125,0.0164208056179609,0.72375,0.705683834243809
